id,activity,sector,use
790621,Personal Housing Expenses,Housing,"to buy metal sheeting, iron, balconies, and window glass and pay for labor"
1090356,Restaurant,Food,"A loan of $5,000 helps me to revitalize an existing juice bar with new larger refrigerator, new products & new marketing. Using my business expertise, passion for holistic health, and knowledge as a chef, I will bring this business to new levels."
1131838,Fish Selling,Food,to buy more seafood to sell.
697576,Poultry,Agriculture,to purchase more broiler chicks and chick feed
1233814,Food Production/Sales,Food,to buy nine large bags of corn.
1081411,Services,Services,increase the amount of raw materials for my business.
668335,Livestock,Agriculture,To buy sheep.
672061,General Store,Retail,To buy retail stock for the business.
1196818,General Store,Retail,to restock her store with basic commodities and other consumable items.
1304378,Personal Housing Expenses,Housing,"to purchase sand, cement, brick and equipment to build a toilet."
709624,Primary/secondary school costs,Education,to buy education equipment and pay tuition fee
782869,Beauty Salon,Services,"to buy lotions, shampoos, conditioner, hair dyes and other products."
876662,Farming,Agriculture,to buy maize seeds for planting. 
893915,Retail,Retail,To expand her commodities store
666512,Food Production/Sales,Food,to purchase material and eels to make eel soup and rolling cake.
836666,Sewing,Services,To buy more of fabrics and yarns so that she can invest in setting up her business.
1036590,Farm Supplies,Agriculture,to buy fertilizer for growing peanuts and okra.
1183193,Cereals,Food,to purchased grains to resell.
1172495,Fruits & Vegetables,Food,"to buy insect poison, fertilizer, a new wheelbarrow, a tiller, a rake, new gloves and a watering hose"
807115,Personal Housing Expenses,Housing,"to purchase cement, sand, iron, bricks, and to pay for manual labor"
915255,Cafe,Food,to purchase a stock of products for his newly opened cafe
1051126,Food,Food,"to purchase additional stock like ham, bacon, and beefsteak to sell."
848707,Clothing,Clothing,to buy different clothing items to sell.
1233174,Food Stall,Food,"to buy sandwiches, pies, donuts, snacks, coffee, a large boiler and soft drinks"
1127193,Food,Food,to buy more cocoa for trade.
951045,Tailoring,Services,to buy a sewing machine
830132,Food Production/Sales,Food,"to buy more ingredients like glutinous rice, sugar, milk, yeast. cooking oil, flour and flavourings"
1018986,Farming,Agriculture,"to buy cost-efficient maize seeds and fertilizer for the coming harvesting season, as well as a solar light."
1163677,Personal Housing Expenses,Housing,to build a latrine to improve the health of her family.
1315168,Farming,Agriculture,to buy fertilizers and other farm supplies.
1132288,Personal Medical Expenses,Health,to pay for a dental treatment.
1237593,Higher education costs,Education,to pay her university tuition fees
799201,Higher education costs,Education,to pay the school tuition fee
997179,Fishing,Food,"to purchase additional fishing nets, boxes, bamboo, etc."
661893,Restaurant,Food,to buy a refrigerator and a felafel machine 
809496,Food Stall,Food,"to replace her work tool, buy benches to sit, and increase the stock of candy in the business."
924160,Higher education costs,Education, to pay this semester university fees in Finance and Banking
769795,Farm Supplies,Agriculture,to buy some fertilizer 
1022549,Food Stall,Food,"to buy ingredients like meat, fish, spices and other materials for her food production business"
1179906,Personal Products Sales,Retail,to buy more products from Personal Collection to sell.
843657,Personal Housing Expenses,Housing,"to purchase sand, cement, brick and equipment to build a toilet and bathroom."
1164224,Clothing Sales,Clothing,to buy more clothes to sell.
1068413,Butcher Shop,Food,to buy more goats for slaughtering to sell in her butcher shop.
881807,Poultry,Agriculture,"to buy feeds and vitamins for her chicken, so as to send her children to school."
1245069,Fruits & Vegetables,Food,to buy agricultural supplies to care for her coffee crop.
1220760,General Store,Retail,"to buy slippers, biscuits, milk, cooking oils, soaps, shampoo, aqua, toothpaste, lighters, plastics, drugs and other things to sell."
726339,Agriculture,Agriculture,to buy a water tank to support her farming activities.
963481,Sewing,Services,"to pay for additional raw materials like fabrics, threads, and sewing accessories"
1195704,Retail,Retail,"purchase bags, briefcases, and leather accessories."
817617,Cereals,Food,to buy cereals to resell
1051946,Livestock,Agriculture,to buy two calves to increase his inventory and improve the breed of his animals
855298,Farming,Agriculture,to purchase commercial fertilizers and sprays
1114955,General Store,Retail,to buy stocks of groceries to sell.
1171221,Tailoring,Services,to buy a new sewing machine for stitching purposes.
673505,Restaurant,Food,to buy raw ingredients to cook food such as meat and vegetables to sell
735440,General Store,Retail,to buy more groceries to sell
664890,Sewing,Services,"to purchase additional materials like fabric, beads, thread, zippers, etc. for her business."
750861,General Store,Retail,"to purchase items to sell, like shampoo, groceries, etc. "
719848,Personal Housing Expenses,Housing,to purchase building materials and pay for construction labor
976412,Livestock,Agriculture,to buy a milking cow. 
1245266,General Store,Retail,to purchase additional products to sell.
919307,Higher education costs,Education,to pay for university fees.
746335,Clothing Sales,Clothing,To purchase more clothes to sell.
935583,Cloth & Dressmaking Supplies,Retail,to purchase good-quality clothing of different colors to earn substantial profits through this investment.
1039018,Agriculture,Agriculture,to buy laying hens and pigs.
769581,Secretarial Services,Services,
672498,General Store,Retail,"to buy additional stock to sell like canned goods, eggs, noodles, soap, cream, etc."
807725,Farming,Agriculture,to start horticulture farming
1252026,Cereals,Food,	to buy cereals.
1254351,Farming,Agriculture,to purchase fertilizers that will improve the banana plantation and buy watering cans.
824800,Animal Sales,Agriculture, to purchase more animals to increase her sales.
1073183,Food Production/Sales,Food,"to buy ingredients like sticky rice, sugar, flour, etc. for her food production business"
859680,Home Appliances,Personal Use,to buy a solar system for heating water.
662135,General Store,Retail,to purchase additional grocery goods to sell.
752110,Farming,Agriculture,To access high-quality inputs such as fertilizer and seed in order to double income and yield.
1084098,Crafts,Arts,"to participate in the world's largest international art fair and make lasting connections with press, collectors, artists, and other galleries from around the world."
786892,Higher education costs,Education,to pay the modules and processing of her degree
1092503,Clothing,Clothing,to purchase clothing and baby wear.
1135265,Grocery Store,Food,"to buy rice, noodles, oil and milk."
1243451,Clothing Sales,Clothing,to buy clothing items to sell
1208797,Electronics Sales,Retail,to add more stock of fast moving items to resell
860638,Retail,Retail,"to buy more stock to sell like canned goods, noodles, rice, cooking oil, condiments, soap and toiletries, soda and beverages, rice, and other items"
678426,Clothing Sales,Clothing,"to buy paint, elei board, fabrics, materials, etc."
1103527,Electrical Goods,Retail,"to buy more wires, cables and lamps."
1268118,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.
687454,Clothing Sales,Clothing,to buy traditional clothing to sell and to acquire materials for weaving.
1229790,Food,Food,to buy a truck full of arrowroot for sale.
964326,Plastics Sales,Retail,to buy more plastic products for resale to get increased income.
1265363,Food Market,Food,to expand his stocks of oil and of herring.
1292856,Grocery Store,Food,"to buy items to sell like beverages, canned goods, junk foods, home product care, and other groceries"
1186270,Livestock,Agriculture,to buy feed and additional livestock to raise.
783507,Retail,Retail,To buy utensils and distilled water to resell.
1020406,Farming,Agriculture,"To buy a plot of farmland and pay a harvesting fee, which is expected to expand her farming business."
1255831,Personal Expenses,Personal Use,to build a sanitary toilet for her family
685507,Land Rental,Agriculture,"to rent a plot of land where he'll plant basic grains like corn, beans, and sorghum for this season."
701805,Wedding Expenses,Personal Use,To pay for his child's wedding party
848788,Fishing,Food,"to buy new fishing nets, lead weights and hooks."
991890,Retail,Retail,"to buy shirts, trousers, blankets, sunshades and more."
774647,Rickshaw,Transportation,to buy new wheels for her husband's rickshaw.
822583,Clothing Sales,Clothing,"to buy bales of clothing, shirts, shorts, capris, perfumes for ladies and gentlemen, etc. in order to increase sales"
1179766,Weaving,Arts,to grow her weaving operations by investing in raw materials and increasing her earning potential.
1207474,Food Production/Sales,Food,to buy ingredients for her food vending business.
1286420,Farming,Agriculture,to buy fertilizers and other farm supplies
1032238,Cloth & Dressmaking Supplies,Retail,to buy a greater variety of cloth in different colors for her business to get boost in her earnings with her loan.
668815,Retail,Retail,"to buy cereals, soaps, pagnes (highly colourful and decorative West African clothing), shoes and beauty products."
936084,Personal Expenses,Personal Use,to buy a plane ticket for her husband.
1106370,Internet Cafe,Services,to have capital to establish a small diner or what is locally known as “Carinderia”.
1292386,General Store,Retail,"to buy items to sell like canned goods, personal care products, noodles, drinks, spices and other snack foods."
1265655,Personal Housing Expenses,Housing,to build a clean water source facility at her home to improve access to water sources for her family.
1054619,Food Stall,Food,"to buy rice, vegetables, pork, beef, and buffalo meat."
874928,Services,Services,to add sand volleyball courts to his tennis and swim club
893750,Cheese Making,Food,to buy dairy cattle for her cheese-making business.
793723,Higher education costs,Education,to pay her son’s tuition fee.
826748,Personal Expenses,Personal Use,"to buy and build a bathroom, septic tank, and closet at their home to improve her family's sanitation."
771541,Food Stall,Food,"to buy soft drinks, pies, foam cups, pies, donuts, a new boiler and some plastic chairs."
765368,Food Market,Food,To buy supplies to sell
1211280,Food Stall,Food,to buy food products to sell.
934961,Butcher Shop,Food,to purchase stock of goats to slaughter and get meat for resale
790938,Retail,Retail,to buy industrious goods to increase her inventory.
1275044,Farming,Agriculture,to purchase improved farm inputs that will increase farm yield 
896450,Agriculture,Agriculture,"To buy fertilizer, herbicide, insecticides, seeds, etc."
1216917,Higher education costs,Education,to pay his university tuition fees.
1273844,Pigs,Agriculture,"to buy feed, vitamins, and other supplies to raise her pigs."
1119544,Fruits & Vegetables,Food,to buy more stock of fruits and vegetables.
936657,Property,Housing,to build up a room for her at her son's house
1122617,Personal Housing Expenses,Housing,to build a sanitary toilet for her family.
910183,Tailoring,Services,buy more cloth
902205,Liquor Store / Off-License,Food,to buy more gallons of coconut wine to sell
1143042,Farming,Agriculture,"to buy a rake, new gloves, a watering hose, insect poison, fertilizer, a new wheelbarrow and a tiller"
674213,Personal Products Sales,Retail,"to buy clothes, shoes, slippers and soap for her business."
911552,Food Production/Sales,Food,to buy sacs of flour and rice
949841,Farming,Agriculture,to buy livestock and fertilizer and compost for his corn crops.
913452,Pigs,Agriculture,to buy medicines and vaccines for her pigs.
973214,Food Production/Sales,Food,"to buy ingredients like four, sugar, butter, etc. for her  bread production business"
968246,Personal Products Sales,Retail,to buy merchandise of personal use products.
1178622,Charcoal Sales,Retail, to buy charcoal for sale.
1032448,General Store,Retail,"to buy items to sell like canned goods, junk food, home care products, and other groceries."
1272894,Dental,Health,to continue her dental treatment.
699717,Food,Food,to purchase more packs of frozen food to sell
740033,Agriculture,Agriculture,to purchase organic fertilizer 
963510,Pub,Food,to buy more drinks like beer and soda to sell to her customers.
1116982,Tailoring,Services,"to purchase raw material including cloth, colorful thread, needles, buttons, and laces for cloth stitching."
711904,Education provider,Education,to pay for tuition fees and to purchase more educational equipment.
1094663,Farm Supplies,Agriculture,to get different types of feed that cater to the full-growth process of the broiler chickens plus quail feed since the quail business has taken Harare by storm.
1262844,Food Stall,Food,to buy more stock of ingredients for preparing food.
1020866,Retail,Retail,"to buy plastic tables, chairs, shower heads, stoves, microwave ovens, and other products for resale."
902363,Fishing,Food,"to buy additional fishing net, gasoline for her boat, bamboo, and other material for her fishing business"
1249083,Embroidery,Arts,"invest in her embroidery work by buying supplies such as cloth, thread, needles, semi-precious stones etc."
1097532,Personal Housing Expenses,Housing,to build water sources at her home to improve her family's access to clean water.
978445,Personal Housing Expenses,Housing,to buy a plot of land to build her own home and offer her children a better quality of life.
945738,Fruits & Vegetables,Food,"to buy carrots, potatoes, tomatoes, cabbages, onions, etc."
1127153,Grocery Store,Food,to stock her store.
1057476,Retail,Retail,to buy deodorants to sell at his business
1034866,Fishing,Food,"to buy fishing materials, new fishing nets, gasoline for her boat and as well as to pay for maintenance for aspects of her business"
782906,Crafts,Arts,to invest in a bulk purchase of sterling silver
1131816,General Store,Retail,to buy additional stocks of groceries to sell.
807010,Higher education costs,Education,to cover the rest of the semester fees.
693461,Pigs,Agriculture,to buy feed and vitamins for her pigs
919951,Higher education costs,Education,To pay for her daughter's educational expenses.
1131093,Higher education costs,Education,to pay for tuition fees
1050995,Spare Parts,Retail,"to buy windscreens, tires and car windows."
1280700,General Store,Retail,to purchase more groceries to sell.
1336033,Clothing Sales,Clothing,to buy new designs of sweaters and jackets.
1214426,Dairy,Agriculture,"to expand animal husbandry business by buying a buffalo and selling buffalo milk, etc."
1153151,Food Production/Sales,Food,"to purchase meat, heart, liver, short-ribs, beef trimmings, etc.
"
867100,Cattle,Agriculture,to buy horned cattle
1082211,General Store,Retail,purchase more stock for my retail shop
844414,Retail,Retail,purchase supplies for her stationary store
1090252,Transportation,Transportation, Purchase a new Bullitt cargo bike to expand operations into a new market.
692371,Clothing Sales,Clothing,To buy a new collection of clothes. 
1048653,General Store,Retail,to purchase additional stock to sell in her general store
1112848,Food Production/Sales,Food,to buy three bags of beans.
924616,Personal Housing Expenses,Housing,"to buy galvanized sheets, wood, nails, and wire to lay a new roof over the hallway as soon as possible."
1048781,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.
1193864,General Store,Retail,to buy items to sell like canned goods and personal care products.
1228184,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
777401,Services,Services,to buy more stationery and repair the printer.
921081,Agriculture,Agriculture,to purchase fertilizers and crop seeds and farming machinery
960432,Pigs,Agriculture,to buy feed and other supplies to raise her pigs.
872470,Fruits & Vegetables,Food,to purchase pigs and to purchase beans to cook them and sell them in her house. 
895772,Dairy,Agriculture,to buy a milking cow 
1226834,Natural Medicines,Health,to buy four units of natural remedies and boxes of ointment.
1289317,Grocery Store,Food,to purchase more orange juice and other beverages to sell in her store.
768217,Poultry,Agriculture,"to purchase more chicks, chick feed, and vaccines to boost production."
1229489,General Store,Retail,"to purchase an additional stock of groceries, including drinks and other personal care products."
1223938,Auto Repair,Services,to buy supplies for her mechanic's shop.
910992,General Store,Retail,"to invest in candy, soda, juice, sweet bread, eggs, etc. in order to meet the immediate necessities of her customers"
870027,General Store,Retail,"to buy vegetables, meat, beverages, dairy, and other items to fill his supplies store."
1308069,Agriculture,Agriculture,"to buy seeds, fertilizers, herbicides, insecticides, etc. for his corn and bean crops."
1016773,Clothing Sales,Clothing,to buy clothes for  her clothes business
955750,General Store,Retail,"to pay for grocery items, toiletries and beverages needed for her business, as well as feed for her hog raising."
707615,Restaurant,Food,to buy ingredients for her restauration activity.
808335,Pigs,Agriculture,to buy feed and vitamins for her pigs
680224,Food Market,Food,"to buy more rice, pepper, coal, sugar, etc. for her business,"
960022,Food Production/Sales,Food,"to buy corn, vegetables and a variety of drinks, to be able to make food and tortillas to sell."
843688,Motorcycle Transport,Transportation,to buy another motorcycle and serve more customers and make more income.
653313,Clothing Sales,Clothing, to purchase bales of clothes for resale.
855864,Cosmetics Sales,Retail,to buy 4 dozen hair extensions for resale.
897509,Clothing Sales,Clothing,"to buy more clothes to increase his business. In the future, he wants to increase the area of his store and to help his children with their education."
846759,Pigs,Agriculture,to buy pigs.
1114126,Personal Expenses,Personal Use,to buy a Pureit water purifier for family use.
667269,Farming,Agriculture,to buy fertilizers and other farm supplies.
848694,Sewing,Services,purchase a sewing machine.
924169,Tailoring,Services,to buy sewing equipment and materials to make dresses and suits.
1072798,Higher education costs,Education,pay for his studies in basic cooking.
1087649,General Store,Retail,purchase more vehicle spare parts for my shop.
1219100,Vehicle Repairs,Services,"to purchase more equipment such as screws, nails, and spare parts to provide better services to his customers."
1101103,Beauty Salon,Services,to buy cosmetic product for her daughter's beauty parlor business
665399,Cloth & Dressmaking Supplies,Retail,to buy wholesale dressmaking supplies for retailers
831040,Construction Supplies,Construction,To purchase 20 bags of cement and one bag of nails.
997318,Livestock,Agriculture,"to pay for 6 mother lambs, forage for feeding the livestock and to cover cultivation costs."
831813,Motorcycle Transport,Transportation,to purchase another motorcycle
1298256,Fruits & Vegetables,Food,"to buy a variety of vegetable to sell, and other supplies needed in her business."
1147712,Farming,Agriculture,with his pea crop.
774352,Agriculture,Agriculture,to purchase a 40 cubic meter Sistema Biobolsa biodigester and a biogas stove.
778373,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.
850145,Clothing Sales,Clothing,"to buy more items like blouses, pants, towels, curtains and other ready-to-wear clothing."
781619,Home Energy,Personal Use,to purchase a high-efficiency cookstove
1315948,Motorcycle Transport,Transportation,to buy additional materials for the maintenance of her motorcycle.
927282,Dairy,Agriculture,to buy a head of cattle
677505,Farm Supplies,Agriculture,to buy another motorcycle for transport.
735304,Farming,Agriculture,"to buy chemicals, fertilizer, a tiller, new gloves, new boots, overalls, a rake, a machete, and a sprayer"
987615,Home Appliances,Personal Use,to buy a water tank
972053,Fishing,Food,to buy fishing gear
696856,Waste Management,Services,To purchase two Fresh Life Toilets
1290688,Personal Housing Expenses,Housing,to buy building materials to complete construction of his parent's house.
1225177,Farming,Agriculture,to buy farm supplies and seeds to improve her farm.
1290196,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
1237869,Personal Products Sales,Retail,"to buy lotions, shampoo, and other products to sell at her business."
791504,Fruits & Vegetables,Food,to purchase more fruits to sell.
1229286,Cattle,Agriculture,to buy fodder for her cattle as well as vitamins and anti-parasitics.
777125,Personal Housing Expenses,Housing,"to buy a dozen sheets of metal to repair his home. With the rest, he will buy a motorcycle to drive to work."
755551,General Store,Retail,"to purchase rice grains, cooking oil, noodles, canned goods, and sugar to sell."
689928,Beauty Salon,Services,"to buy hair care products, skin products and creams of bleaching and whitening in large quantities."
775622,Restaurant,Food,"to buy oil and rice, among other items."
886285,Vehicle,Personal Use,To add to his capital and purchase a tricycle for plastic waste collection
752852,Dental,Health,"to pay for supplies, materials, and medicines "
1286784,Poultry,Agriculture,	to buy poultry.
991606,Farming,Agriculture,to buy seeds and mineral fertilizers for the new sowing season.
887414,Construction Supplies,Construction,for renovation and painting of a church building
981717,Grocery Store,Food,"to buy oil, pop, candy, and other items."
723198,Livestock,Agriculture,to buy more goats and cattle for her business.
1125467,Personal Medical Expenses,Health,"to pay for her grandson's medical bills and also, with a small portion of the loan, to buy pesticides for her agricultural plants."
1176271,Fruits & Vegetables,Food,purchase vegetables to sell.
1207023,Food,Food,to buy more cold water to sell
998474,General Store,Retail,"to buy more cooking oil,spoons and plates to sell."
1206828,Wedding Expenses,Personal Use,to pay for his engagement expenses
710531,Charcoal Sales,Retail,to buy more charcoal in bulk for resale.
1030554,General Store,Retail,to buy additional grocery goods as additional capital for his sari sari store.
930465,Retail,Retail,to increase her merchandise with a new collection of toys.
1334604,General Store,Retail,to buy bread and groceries to sell.
817262,Agriculture,Agriculture,"to buy taro roots, banana tube, a wheelbarrow, a rake, a shovel, and chemicals"
859945,Vehicle,Personal Use,to buy a motorcycle to commute to work
888492,General Store,Retail,"to pay for grocery items, toiletries and beverages needed in her business."
776465,Farming,Agriculture,"to buy compost, foliar sprays, and fertilizers, among other items, to care for her coffee plantings."
784046,Retail,Retail,to purchase 250kg of corn flour and 250kg of cassava flour
1039952,Rickshaw,Transportation,to help her son to fix his rickshaw.
977419,Farming,Agriculture,to buy seeds and fertilizer to grow her crops well to increase her income and expand her current business.
1214499,Farming,Agriculture,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.							
903437,Clothing Sales,Clothing,Purchase of merchandise for clothing sales
730226,Agriculture,Agriculture,"to buy compost, fertilizers, and to prepare the land to cultivate 7,000 meters of corn."
1167776,Fruits & Vegetables,Food,to buy more bananas to sell and supplies needed in her business.
1019125,Personal Housing Expenses,Housing,"to build an appropriate, clean, and hygienic toilet with a commode attached to it."
676554,Personal Housing Expenses,Housing,"to buy cement, iron, blocks, wood, wiring, and metal sheets.  "
666346,Food Production/Sales,Food,"to buy supplies for making sorbet like milk, vanilla, sugar, cookies, among other things. "
856040,Liquor Store / Off-License,Food,to buy a large quantity of beer to grow her business. 
772077,Food,Food,to buy five sacks of rice for her retail business.
1304481,Tailoring,Services,"to buy stitching inputs like cloths, colorful threads, needles, buttons and laces."
771937,Personal Housing Expenses,Housing,"to buy aluminum sheets, 3 doors, 1 window, cement for the floor of her house, and materials to remove rain water from her house. "
1112876,Restaurant,Food,"to buy potatoes, chicken, mayonnaise, and garlic for her restaurant."
1002571,Taxi,Transportation,"to buy a carburetor, cylinder, connecting rods, rims, and spark plugs."
1029580,Farming,Agriculture,to buy farm inputs
782473,Taxi,Transportation,to repair his moto-taxi.
1326535,Tailoring,Services,to purchase a new stitching machine with some spools of thread and laces for meeting the demand of her customers consistently.
1209870,Food,Food,"Maria Hilda purchase chickens, potatoes, cooking oil, and other inputs for her business."
951760,Tailoring,Services,to purchase a sewing machine for her small-scale sewing business.
928925,Pigs,Agriculture,"To purchase pigs, a sheep and cattle, with all the animals intended to improve profits from his business."
932092,Livestock,Agriculture,to buy additional calves and lambs to increase her livestock.
1276256,General Store,Retail,"to buy biscuits, noodles, sugar, and coffee for his kiosk."
1251606,Food,Food,to buy more frozen foods to sell.
797004,Retail,Retail,"to buy more stocks to sell like soap and toiletries, canned goods and noodles, powdered juice, and frozen goods like sausages. "
1093903,Pigs,Agriculture,"to purchase pigs and chickens in quantity, as she is looking to arrange reproductive cycles and provide large pigs all year."
962302,Farming,Agriculture,to buy a motorbike for timely delivery of produce to the market as well as a quality breed of cow.
843182,Tailoring,Services,to buy more stock of tailoring materials
1240470,General Store,Retail,"to purchase coffee, sugar, canned goods, milk, detergent soap, bread, and beverages to sell."
875183,Fish Selling,Food,to purchase more fish to sell
891380,Construction,Construction,to buy wood and cement.
1255081,Pub,Food,"to buy wholesale beer, soft drinks, glasses, chairs, tables, cups, etc."
1092477,Farming,Agriculture,to buy fertilizers for the corn and pay the rent for the land where he grows his crops.
1040273,Charcoal Sales,Retail,to purchase 27 sacks of charcoal.
1296919,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.
828301,Farming,Agriculture,To buy poultry
724331,General Store,Retail,"to purchase more items like sugar, soap and other groceries."
825890,Textiles,Arts,to buy materials for her business.
936438,Fishing,Food,"to buy plywood, paint and adhesive"
1264813,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.
1108039,Agriculture,Agriculture,"to invest in buying manure and fertilizers, and to pay his workers."
983458,Food,Food,to buy flour to sell.
938148,Dental,Health,to buy a teeth cleaning and whitening machine
786844,Clothing Sales,Clothing,To buy new styles of clothing and cosmetics to satisfy customer demand.
685483,Retail,Retail,"to buy tyres, rims, and exhaust pipes wholesale"
698345,Retail,Retail,to buy seeds and other farm supplies.
761151,Personal Housing Expenses,Housing,"to buy two doors, cement, sand and roof tiles."
863634,Farming,Agriculture,to buy fertilizers and seedlings for her vegetable garden.
1112828,Food,Food,to buy three containers of oil and seven cartons of boxed tomatoes.
1174508,Food,Food,Anne to help increase her stock.
1119154,Charcoal Sales,Retail,to purchase wood to produce charcoal
837192,Used Clothing,Clothing,to buy second-hand clothes to sell.
1075130,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family
978162,Farming,Agriculture,To buy seeds and expand his horticulture farming
771688,Used Clothing,Clothing,to purchase bales of clothes and tailoring thread for her business.
1230031,Higher education costs,Education,to pay her university fees toward a degree in Accounting.
840237,General Store,Retail,to purchase grocery items to offer for sale in her store
852629,Clothing Sales,Clothing,"to purchase clothing and sandals because Holy Week is coming and she wants to take advantage of the season.  Also she will buy two thermoses in order to keep the coffee that she sells hot.  She will also buy a large cooler for her breads, since the one she has is very small."
933601,General Store,Retail,"to buy items to sell like personal care products, canned goods, eggs, home care products, and groceries."
956051,Pigs,Agriculture,to buy pigs and to improve the roof of his house.
1286564,Farming,Agriculture,to purchase fertilizer
709555,Personal Housing Expenses,Housing,"to buy: bricks, cement, sand, gravel, adhesive, etc. to build a concrete washing basin with a sink and shower."
929855,Charcoal Sales,Retail,to buy sacks of charcoal to sell.
671094,Food Production/Sales,Food,to buy condiments for resale.
1257511,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.
667651,Vehicle Repairs,Services,to repair his vehicle
995472,Restaurant,Food,to buy new chairs and tables for her restaurant.
823647,Retail,Retail,to purchase more sacks of dried coconut meat to sell
689111,Personal Expenses,Personal Use,buy a water storage facility
1134647,Grocery Store,Food,"to purchase meat, beverages, breads, vegetables, fruits, and other various products."
1183528,Personal Medical Expenses,Health,to buy medicines for her treatment at the medical clinic.
984322,Pigs,Agriculture,to purchase feed and other supplies to raise her pigs.
906590,Rickshaw,Transportation,to pay for the maintenance of his tricycle unit.
955018,Pigs,Agriculture,to buy feeds and other supplies to raise her pigs
679243,Shoe Sales,Retail,to buy more ladies' slippers for her business.
812430,Clothing Sales,Clothing,to open a new clothes business and buy a new collection of winter clothes
1136190,Clothing Sales,Clothing,to buy new clothing to sell.
1304790,Grocery Store,Food,"to buy more fruits and sodas for her grocery shop, so her sales improve and she can pay for her medical care."
1100015,Dairy,Agriculture,to purchase two cows and expand her animal husbandry business.
1055096,Transportation,Transportation,to invest in maintaining his vehicle.
939981,Farming,Agriculture,to purchase improved farm inputs that will increase farmer’s yields.
1264195,Electronics Repair,Services,to buy tools and parts for his electronics repair business.
676633,Pigs,Agriculture,to purchase additional feed.
1209287,Food Production/Sales,Food,to buy raw materials in bulk
1035496,Fish Selling,Food,to invest in assorted fish
811767,Retail,Retail,"to purchase cigarettes, pan, juices, soft drinks, cold drinks etc. for his shop. "
